听说性能很强劲！,在理论性能测试中GTX1080对比同级别的GTX980提升幅度达72%。
那它的散热怎么样呢？,GTX1080在公版散热器下，核心温度最高达85℃。
如果不用公版散热呢？,如果采用非公设计，核心温度还能压更低，或者买公版上水冷，都将非常不错！
它的功率对比上一代有没有什么突破？,如果单纯的做对比，你会发现其功耗不减反升多了15W左右。
,但两者性能早已不在一个量级。
它的显存是多少？,它拥有8GBGDDR5X显存。
挺不错的，打算买一个。,你去中关村看看应该可以买到。
我还有个问题，这个显卡的最高温度是多少？,公版显卡最高温度是94℃。
那还好，以后有时间去中关村看看。,怎么了？最近又打算要升级你的电脑了？
对啊，两年没更新了配置跟不上时代了。,哈哈，只更新显卡可不行啊。其它硬件也要同步更新否则不兼容的。
知道了，慢慢来，等到我经济宽裕了再慢慢换。,其实电脑硬件没有必要更新的太频繁4到5年更新一下就好。
是啊，电子设备更新换代太快，我也有点吃不消。,像这些电子设备不要要求最好，运行流畅就可以了。
,
电子产品,
知不知道DJI精灵4？,那是什么东西？
大疆精灵4航拍飞机啊！,哦，听说过好像很厉害的样子。
嗯，最近打算入手一个。,听说还能自动跟拍是吗？
对啊，而且像素超级高。,多少像素？
1200万像素，而且支持4K录像。,果然很厉害，一定不便宜吧？
单机售价是8999。,比上一代贵好多啊！
是啊，不过比上一代也强很多啊！,比如哪里？
比如速度啊要比上一代提升很多。,速度都无关紧要了，有没有实用一点的？
飞行载重比上一代要高一些，然后飞行时长多一点。,看来好像也没有什么比较有用提升。
好像是的，好尴尬啊，哈哈。,其实你不如用上一代，这一代不过是比上一代多了自动跟拍而已。
嗯，你说得对，我应该买上一代练练手。,就是啊，毕竟你没有什么经验，上一代比这一代性价比高很多。
嗯，改天去实体店看看，尝试一下。,嗯，是个正确的选择，还能试一下哪个更适合自己。
正好第三代比第四代的价格要低很多，还能缓解一下我的经济压力。,你看，因为我省了不少钱吧！
是啊，明天一起跟我去看看？,好啊，正好我也没什么事。
买完之后咱俩来个航拍合影，哈哈。,哈哈，听上去不错。
,
饮食,
你今天中午吃的什么？,我今天中午吃的油泼面。
我不喜欢吃油泼面。,为什么不喜欢啊？
因为感觉很油腻啊。,好吧，我感觉还可以。
你最喜欢吃什么？,没有最喜欢的，好吃的都喜欢吃。
典型的吃货，哈哈。,你不是吃货？
我觉得我也是。,那你最喜欢吃什么呢？
我最喜欢吃炸鸡了。,你不是说不喜欢吃油腻的东西么？
这个不一样啊，我只是不喜欢油泼面。,你开心就好。
你早餐都吃什么？,一般都是油条豆浆。
我早上都是吃包子。,我有时候也吃。
你还没跟我说最喜欢吃什么呢？,现在能到的是麻辣小龙虾。
我更喜欢吃螃蟹。,螃蟹我也想吃。
我还想吃皮皮虾呢。,说的我都饿了。
那周末我们去吃海鲜吧。,可以，就这么定了。
,
游戏,
好久没玩英雄联盟了。,有空一起玩呗？
你多少级了？,我十七级了。
那算了吧，我只打排位。,那你什么段位了？
我打到青铜五了。,这么厉害啊，有时间教教我吧。
等我玩的时候你可以在旁边看着。,好的。对了，你知道守望先锋吗？
嗯，暴雪的射击游戏。,我还没玩过呢。
你可以用我的战网号玩。,好啊，正愁最近没游戏呢。
其实我不太喜欢射击类游戏。,那你喜欢什么类型的游戏？
我比较喜欢角色扮演和策略类游戏。,你为什么喜欢这类游戏？
因为这些游戏里有很多不同的选择。,哦，原来是这样啊。
,我比较喜欢射击类的游戏。
就像守望先锋这种游戏？,关注守望先锋好久了，一直看别人直播。
看来你很喜欢这种游戏啊。,对啊，因为感觉很刺激。
我就不喜欢这种太刺激的。,哈哈，早就看出来了。
,对了，说好带我打英雄联盟的。
没问题啊，没有我不会的英雄。,那你好强啊！
多练习，总有一天你也会像我一样。,
